,possible_activation_function_of_first_layer,possible_activation_function_of_exit_layer,possible_lose_verify_function,possible_optimizator_type,possible_metric
192,sigmoid,relu,mean_squared_error,sgd,accuracy
193,sigmoid,relu,mean_squared_error,sgd,mean_squared_error
194,sigmoid,relu,mean_squared_error,sgd,mean_absolute_error
195,sigmoid,relu,mean_squared_error,adam,accuracy
196,sigmoid,relu,mean_squared_error,adam,mean_squared_error
197,sigmoid,relu,mean_squared_error,adam,mean_absolute_error
198,sigmoid,relu,mean_squared_error,rmsprop,accuracy
199,sigmoid,relu,mean_squared_error,rmsprop,mean_squared_error
200,sigmoid,relu,mean_squared_error,rmsprop,mean_absolute_error
201,sigmoid,relu,mean_squared_error,adagrad,accuracy
202,sigmoid,relu,mean_squared_error,adagrad,mean_squared_error
203,sigmoid,relu,mean_squared_error,adagrad,mean_absolute_error
204,sigmoid,relu,binary_crossentropy,sgd,accuracy
205,sigmoid,relu,binary_crossentropy,sgd,mean_squared_error
206,sigmoid,relu,binary_crossentropy,sgd,mean_absolute_error
207,sigmoid,relu,binary_crossentropy,adam,accuracy
208,sigmoid,relu,binary_crossentropy,adam,mean_squared_error
209,sigmoid,relu,binary_crossentropy,adam,mean_absolute_error
210,sigmoid,relu,binary_crossentropy,rmsprop,accuracy
211,sigmoid,relu,binary_crossentropy,rmsprop,mean_squared_error
212,sigmoid,relu,binary_crossentropy,rmsprop,mean_absolute_error
213,sigmoid,relu,binary_crossentropy,adagrad,accuracy
214,sigmoid,relu,binary_crossentropy,adagrad,mean_squared_error
215,sigmoid,relu,binary_crossentropy,adagrad,mean_absolute_error
216,sigmoid,relu,categorical_crossentropy,sgd,accuracy
217,sigmoid,relu,categorical_crossentropy,sgd,mean_squared_error
218,sigmoid,relu,categorical_crossentropy,sgd,mean_absolute_error
219,sigmoid,relu,categorical_crossentropy,adam,accuracy
220,sigmoid,relu,categorical_crossentropy,adam,mean_squared_error
221,sigmoid,relu,categorical_crossentropy,adam,mean_absolute_error
222,sigmoid,relu,categorical_crossentropy,rmsprop,accuracy
223,sigmoid,relu,categorical_crossentropy,rmsprop,mean_squared_error
224,sigmoid,relu,categorical_crossentropy,rmsprop,mean_absolute_error
225,sigmoid,relu,categorical_crossentropy,adagrad,accuracy
226,sigmoid,relu,categorical_crossentropy,adagrad,mean_squared_error
227,sigmoid,relu,categorical_crossentropy,adagrad,mean_absolute_error
228,sigmoid,relu,mean_absolute_error,sgd,accuracy
229,sigmoid,relu,mean_absolute_error,sgd,mean_squared_error
230,sigmoid,relu,mean_absolute_error,sgd,mean_absolute_error
231,sigmoid,relu,mean_absolute_error,adam,accuracy
232,sigmoid,relu,mean_absolute_error,adam,mean_squared_error
233,sigmoid,relu,mean_absolute_error,adam,mean_absolute_error
234,sigmoid,relu,mean_absolute_error,rmsprop,accuracy
235,sigmoid,relu,mean_absolute_error,rmsprop,mean_squared_error
236,sigmoid,relu,mean_absolute_error,rmsprop,mean_absolute_error
237,sigmoid,relu,mean_absolute_error,adagrad,accuracy
238,sigmoid,relu,mean_absolute_error,adagrad,mean_squared_error
239,sigmoid,relu,mean_absolute_error,adagrad,mean_absolute_error
240,sigmoid,sigmoid,mean_squared_error,sgd,accuracy
241,sigmoid,sigmoid,mean_squared_error,sgd,mean_squared_error
242,sigmoid,sigmoid,mean_squared_error,sgd,mean_absolute_error
243,sigmoid,sigmoid,mean_squared_error,adam,accuracy
244,sigmoid,sigmoid,mean_squared_error,adam,mean_squared_error
245,sigmoid,sigmoid,mean_squared_error,adam,mean_absolute_error
246,sigmoid,sigmoid,mean_squared_error,rmsprop,accuracy
247,sigmoid,sigmoid,mean_squared_error,rmsprop,mean_squared_error
248,sigmoid,sigmoid,mean_squared_error,rmsprop,mean_absolute_error
249,sigmoid,sigmoid,mean_squared_error,adagrad,accuracy
250,sigmoid,sigmoid,mean_squared_error,adagrad,mean_squared_error
251,sigmoid,sigmoid,mean_squared_error,adagrad,mean_absolute_error
252,sigmoid,sigmoid,binary_crossentropy,sgd,accuracy
253,sigmoid,sigmoid,binary_crossentropy,sgd,mean_squared_error
254,sigmoid,sigmoid,binary_crossentropy,sgd,mean_absolute_error
255,sigmoid,sigmoid,binary_crossentropy,adam,accuracy
256,sigmoid,sigmoid,binary_crossentropy,adam,mean_squared_error
257,sigmoid,sigmoid,binary_crossentropy,adam,mean_absolute_error
258,sigmoid,sigmoid,binary_crossentropy,rmsprop,accuracy
259,sigmoid,sigmoid,binary_crossentropy,rmsprop,mean_squared_error
260,sigmoid,sigmoid,binary_crossentropy,rmsprop,mean_absolute_error
261,sigmoid,sigmoid,binary_crossentropy,adagrad,accuracy
262,sigmoid,sigmoid,binary_crossentropy,adagrad,mean_squared_error
263,sigmoid,sigmoid,binary_crossentropy,adagrad,mean_absolute_error
264,sigmoid,sigmoid,categorical_crossentropy,sgd,accuracy
265,sigmoid,sigmoid,categorical_crossentropy,sgd,mean_squared_error
266,sigmoid,sigmoid,categorical_crossentropy,sgd,mean_absolute_error
267,sigmoid,sigmoid,categorical_crossentropy,adam,accuracy
268,sigmoid,sigmoid,categorical_crossentropy,adam,mean_squared_error
269,sigmoid,sigmoid,categorical_crossentropy,adam,mean_absolute_error
270,sigmoid,sigmoid,categorical_crossentropy,rmsprop,accuracy
271,sigmoid,sigmoid,categorical_crossentropy,rmsprop,mean_squared_error
272,sigmoid,sigmoid,categorical_crossentropy,rmsprop,mean_absolute_error
273,sigmoid,sigmoid,categorical_crossentropy,adagrad,accuracy
274,sigmoid,sigmoid,categorical_crossentropy,adagrad,mean_squared_error
275,sigmoid,sigmoid,categorical_crossentropy,adagrad,mean_absolute_error
276,sigmoid,sigmoid,mean_absolute_error,sgd,accuracy
277,sigmoid,sigmoid,mean_absolute_error,sgd,mean_squared_error
278,sigmoid,sigmoid,mean_absolute_error,sgd,mean_absolute_error
279,sigmoid,sigmoid,mean_absolute_error,adam,accuracy
280,sigmoid,sigmoid,mean_absolute_error,adam,mean_squared_error
281,sigmoid,sigmoid,mean_absolute_error,adam,mean_absolute_error
282,sigmoid,sigmoid,mean_absolute_error,rmsprop,accuracy
283,sigmoid,sigmoid,mean_absolute_error,rmsprop,mean_squared_error
284,sigmoid,sigmoid,mean_absolute_error,rmsprop,mean_absolute_error
285,sigmoid,sigmoid,mean_absolute_error,adagrad,accuracy
286,sigmoid,sigmoid,mean_absolute_error,adagrad,mean_squared_error
287,sigmoid,sigmoid,mean_absolute_error,adagrad,mean_absolute_error
288,sigmoid,tanh,mean_squared_error,sgd,accuracy
289,sigmoid,tanh,mean_squared_error,sgd,mean_squared_error
290,sigmoid,tanh,mean_squared_error,sgd,mean_absolute_error
291,sigmoid,tanh,mean_squared_error,adam,accuracy
292,sigmoid,tanh,mean_squared_error,adam,mean_squared_error
293,sigmoid,tanh,mean_squared_error,adam,mean_absolute_error
294,sigmoid,tanh,mean_squared_error,rmsprop,accuracy
295,sigmoid,tanh,mean_squared_error,rmsprop,mean_squared_error
296,sigmoid,tanh,mean_squared_error,rmsprop,mean_absolute_error
297,sigmoid,tanh,mean_squared_error,adagrad,accuracy
298,sigmoid,tanh,mean_squared_error,adagrad,mean_squared_error
299,sigmoid,tanh,mean_squared_error,adagrad,mean_absolute_error
300,sigmoid,tanh,binary_crossentropy,sgd,accuracy
301,sigmoid,tanh,binary_crossentropy,sgd,mean_squared_error
302,sigmoid,tanh,binary_crossentropy,sgd,mean_absolute_error
303,sigmoid,tanh,binary_crossentropy,adam,accuracy
304,sigmoid,tanh,binary_crossentropy,adam,mean_squared_error
305,sigmoid,tanh,binary_crossentropy,adam,mean_absolute_error
306,sigmoid,tanh,binary_crossentropy,rmsprop,accuracy
307,sigmoid,tanh,binary_crossentropy,rmsprop,mean_squared_error
308,sigmoid,tanh,binary_crossentropy,rmsprop,mean_absolute_error
309,sigmoid,tanh,binary_crossentropy,adagrad,accuracy
310,sigmoid,tanh,binary_crossentropy,adagrad,mean_squared_error
311,sigmoid,tanh,binary_crossentropy,adagrad,mean_absolute_error
312,sigmoid,tanh,categorical_crossentropy,sgd,accuracy
313,sigmoid,tanh,categorical_crossentropy,sgd,mean_squared_error
314,sigmoid,tanh,categorical_crossentropy,sgd,mean_absolute_error
315,sigmoid,tanh,categorical_crossentropy,adam,accuracy
316,sigmoid,tanh,categorical_crossentropy,adam,mean_squared_error
317,sigmoid,tanh,categorical_crossentropy,adam,mean_absolute_error
318,sigmoid,tanh,categorical_crossentropy,rmsprop,accuracy
319,sigmoid,tanh,categorical_crossentropy,rmsprop,mean_squared_error
320,sigmoid,tanh,categorical_crossentropy,rmsprop,mean_absolute_error
321,sigmoid,tanh,categorical_crossentropy,adagrad,accuracy
322,sigmoid,tanh,categorical_crossentropy,adagrad,mean_squared_error
323,sigmoid,tanh,categorical_crossentropy,adagrad,mean_absolute_error
324,sigmoid,tanh,mean_absolute_error,sgd,accuracy
325,sigmoid,tanh,mean_absolute_error,sgd,mean_squared_error
326,sigmoid,tanh,mean_absolute_error,sgd,mean_absolute_error
327,sigmoid,tanh,mean_absolute_error,adam,accuracy
328,sigmoid,tanh,mean_absolute_error,adam,mean_squared_error
329,sigmoid,tanh,mean_absolute_error,adam,mean_absolute_error
330,sigmoid,tanh,mean_absolute_error,rmsprop,accuracy
331,sigmoid,tanh,mean_absolute_error,rmsprop,mean_squared_error
332,sigmoid,tanh,mean_absolute_error,rmsprop,mean_absolute_error
333,sigmoid,tanh,mean_absolute_error,adagrad,accuracy
334,sigmoid,tanh,mean_absolute_error,adagrad,mean_squared_error
335,sigmoid,tanh,mean_absolute_error,adagrad,mean_absolute_error
336,sigmoid,softmax,mean_squared_error,sgd,accuracy
337,sigmoid,softmax,mean_squared_error,sgd,mean_squared_error
338,sigmoid,softmax,mean_squared_error,sgd,mean_absolute_error
339,sigmoid,softmax,mean_squared_error,adam,accuracy
340,sigmoid,softmax,mean_squared_error,adam,mean_squared_error
341,sigmoid,softmax,mean_squared_error,adam,mean_absolute_error
342,sigmoid,softmax,mean_squared_error,rmsprop,accuracy
343,sigmoid,softmax,mean_squared_error,rmsprop,mean_squared_error
344,sigmoid,softmax,mean_squared_error,rmsprop,mean_absolute_error
345,sigmoid,softmax,mean_squared_error,adagrad,accuracy
346,sigmoid,softmax,mean_squared_error,adagrad,mean_squared_error
347,sigmoid,softmax,mean_squared_error,adagrad,mean_absolute_error
348,sigmoid,softmax,binary_crossentropy,sgd,accuracy
349,sigmoid,softmax,binary_crossentropy,sgd,mean_squared_error
350,sigmoid,softmax,binary_crossentropy,sgd,mean_absolute_error
351,sigmoid,softmax,binary_crossentropy,adam,accuracy
352,sigmoid,softmax,binary_crossentropy,adam,mean_squared_error
353,sigmoid,softmax,binary_crossentropy,adam,mean_absolute_error
354,sigmoid,softmax,binary_crossentropy,rmsprop,accuracy
355,sigmoid,softmax,binary_crossentropy,rmsprop,mean_squared_error
356,sigmoid,softmax,binary_crossentropy,rmsprop,mean_absolute_error
357,sigmoid,softmax,binary_crossentropy,adagrad,accuracy
358,sigmoid,softmax,binary_crossentropy,adagrad,mean_squared_error
359,sigmoid,softmax,binary_crossentropy,adagrad,mean_absolute_error
360,sigmoid,softmax,categorical_crossentropy,sgd,accuracy
361,sigmoid,softmax,categorical_crossentropy,sgd,mean_squared_error
362,sigmoid,softmax,categorical_crossentropy,sgd,mean_absolute_error
363,sigmoid,softmax,categorical_crossentropy,adam,accuracy
364,sigmoid,softmax,categorical_crossentropy,adam,mean_squared_error
365,sigmoid,softmax,categorical_crossentropy,adam,mean_absolute_error
366,sigmoid,softmax,categorical_crossentropy,rmsprop,accuracy
367,sigmoid,softmax,categorical_crossentropy,rmsprop,mean_squared_error
368,sigmoid,softmax,categorical_crossentropy,rmsprop,mean_absolute_error
369,sigmoid,softmax,categorical_crossentropy,adagrad,accuracy
370,sigmoid,softmax,categorical_crossentropy,adagrad,mean_squared_error
371,sigmoid,softmax,categorical_crossentropy,adagrad,mean_absolute_error
372,sigmoid,softmax,mean_absolute_error,sgd,accuracy
373,sigmoid,softmax,mean_absolute_error,sgd,mean_squared_error
374,sigmoid,softmax,mean_absolute_error,sgd,mean_absolute_error
375,sigmoid,softmax,mean_absolute_error,adam,accuracy
376,sigmoid,softmax,mean_absolute_error,adam,mean_squared_error
377,sigmoid,softmax,mean_absolute_error,adam,mean_absolute_error
378,sigmoid,softmax,mean_absolute_error,rmsprop,accuracy
379,sigmoid,softmax,mean_absolute_error,rmsprop,mean_squared_error
380,sigmoid,softmax,mean_absolute_error,rmsprop,mean_absolute_error
381,sigmoid,softmax,mean_absolute_error,adagrad,accuracy
382,sigmoid,softmax,mean_absolute_error,adagrad,mean_squared_error
383,sigmoid,softmax,mean_absolute_error,adagrad,mean_absolute_error
384,tanh,relu,mean_squared_error,sgd,accuracy
385,tanh,relu,mean_squared_error,sgd,mean_squared_error
386,tanh,relu,mean_squared_error,sgd,mean_absolute_error
387,tanh,relu,mean_squared_error,adam,accuracy
388,tanh,relu,mean_squared_error,adam,mean_squared_error
389,tanh,relu,mean_squared_error,adam,mean_absolute_error
390,tanh,relu,mean_squared_error,rmsprop,accuracy
391,tanh,relu,mean_squared_error,rmsprop,mean_squared_error
392,tanh,relu,mean_squared_error,rmsprop,mean_absolute_error
393,tanh,relu,mean_squared_error,adagrad,accuracy
394,tanh,relu,mean_squared_error,adagrad,mean_squared_error
395,tanh,relu,mean_squared_error,adagrad,mean_absolute_error
396,tanh,relu,binary_crossentropy,sgd,accuracy
397,tanh,relu,binary_crossentropy,sgd,mean_squared_error
398,tanh,relu,binary_crossentropy,sgd,mean_absolute_error
399,tanh,relu,binary_crossentropy,adam,accuracy
400,tanh,relu,binary_crossentropy,adam,mean_squared_error
401,tanh,relu,binary_crossentropy,adam,mean_absolute_error
402,tanh,relu,binary_crossentropy,rmsprop,accuracy
403,tanh,relu,binary_crossentropy,rmsprop,mean_squared_error
404,tanh,relu,binary_crossentropy,rmsprop,mean_absolute_error
405,tanh,relu,binary_crossentropy,adagrad,accuracy
406,tanh,relu,binary_crossentropy,adagrad,mean_squared_error
407,tanh,relu,binary_crossentropy,adagrad,mean_absolute_error
408,tanh,relu,categorical_crossentropy,sgd,accuracy
409,tanh,relu,categorical_crossentropy,sgd,mean_squared_error
410,tanh,relu,categorical_crossentropy,sgd,mean_absolute_error
411,tanh,relu,categorical_crossentropy,adam,accuracy
412,tanh,relu,categorical_crossentropy,adam,mean_squared_error
413,tanh,relu,categorical_crossentropy,adam,mean_absolute_error
414,tanh,relu,categorical_crossentropy,rmsprop,accuracy
415,tanh,relu,categorical_crossentropy,rmsprop,mean_squared_error
416,tanh,relu,categorical_crossentropy,rmsprop,mean_absolute_error
417,tanh,relu,categorical_crossentropy,adagrad,accuracy
418,tanh,relu,categorical_crossentropy,adagrad,mean_squared_error
419,tanh,relu,categorical_crossentropy,adagrad,mean_absolute_error
420,tanh,relu,mean_absolute_error,sgd,accuracy
421,tanh,relu,mean_absolute_error,sgd,mean_squared_error
422,tanh,relu,mean_absolute_error,sgd,mean_absolute_error
423,tanh,relu,mean_absolute_error,adam,accuracy
424,tanh,relu,mean_absolute_error,adam,mean_squared_error
425,tanh,relu,mean_absolute_error,adam,mean_absolute_error
426,tanh,relu,mean_absolute_error,rmsprop,accuracy
427,tanh,relu,mean_absolute_error,rmsprop,mean_squared_error
428,tanh,relu,mean_absolute_error,rmsprop,mean_absolute_error
429,tanh,relu,mean_absolute_error,adagrad,accuracy
430,tanh,relu,mean_absolute_error,adagrad,mean_squared_error
431,tanh,relu,mean_absolute_error,adagrad,mean_absolute_error
432,tanh,sigmoid,mean_squared_error,sgd,accuracy
433,tanh,sigmoid,mean_squared_error,sgd,mean_squared_error
434,tanh,sigmoid,mean_squared_error,sgd,mean_absolute_error
435,tanh,sigmoid,mean_squared_error,adam,accuracy
436,tanh,sigmoid,mean_squared_error,adam,mean_squared_error
437,tanh,sigmoid,mean_squared_error,adam,mean_absolute_error
438,tanh,sigmoid,mean_squared_error,rmsprop,accuracy
439,tanh,sigmoid,mean_squared_error,rmsprop,mean_squared_error
440,tanh,sigmoid,mean_squared_error,rmsprop,mean_absolute_error
441,tanh,sigmoid,mean_squared_error,adagrad,accuracy
